id,device,accX,accY,accZ,millis,created,gyX,gyY,gyZ,magX,magY,magZ,yaw,pitch,roll,temp
1360957,pilot02,-90.8813,-91.3696,908.5693,169045981,2020-04-28 00:00:14.853,0,0,0,0,0,0,0,0,0,0
1360958,pilot02,-93.1396,-89.7827,911.1328,169065246,2020-04-28 00:00:32.003,0,0,0,0,0,0,0,0,0,0
1360959,pilot02,-92.6514,-87.4023,908.8745,169082377,2020-04-28 00:00:50.710,0,0,0,0,0,0,0,0,0,0
1360960,pilot02,-88.9893,-88.9282,914.6118,169101101,2020-04-28 00:01:09.083,0,0,0,0,0,0,0,0,0,0
1360961,pilot02,-95.7642,-91.4917,904.0527,169119471,2020-04-28 00:01:25.957,0,0,0,0,0,0,0,0,0,0
1360962,pilot02,-87.8296,-94.1772,910.9497,169136348,2020-04-28 00:01:42.747,0,0,0,0,0,0,0,0,0,0
1360963,pilot02,-92.4683,-88.1958,913.8184,169153135,2020-04-28 00:02:01.107,0,0,0,0,0,0,0,0,0,0
1360964,pilot02,-89.9658,-95.7642,895.1416,169171490,2020-04-28 00:02:19.233,0,0,0,0,0,0,0,0,0,0
1360965,pilot02,-89.1113,-100.0977,909.3018,169189606,2020-04-28 00:02:37.477,0,0,0,0,0,0,0,0,0,0
1360966,pilot02,-88.8062,-86.9751,932.251,169207931,2020-04-28 00:02:59.343,0,0,0,0,0,0,0,0,0,0
1360967,pilot02,-97.5342,-86.853,907.959,169229706,2020-04-28 00:03:16.997,0,0,0,0,0,0,0,0,0,0
1360968,pilot02,-92.2852,-87.7686,912.4756,169247367,2020-04-28 00:03:36.480,0,0,0,0,0,0,0,0,0,0
1360969,pilot02,-93.1396,-90.5151,910.3394,169266855,2020-04-28 00:03:55.097,0,0,0,0,0,0,0,0,0,0
1360970,pilot02,-94.6045,-88.9282,905.5176,169285480,2020-04-28 00:04:14.113,0,0,0,0,0,0,0,0,0,0
1360971,pilot02,-93.1396,-87.4023,908.02,169304494,2020-04-28 00:04:33.907,0,0,0,0,0,0,0,0,0,0
1360972,pilot02,-93.1396,-90.332,908.6304,169324282,2020-04-28 00:04:53.207,0,0,0,0,0,0,0,0,0,0
1360973,pilot02,-90.332,-89.1724,907.1655,169343586,2020-04-28 00:05:14.210,0,0,0,0,0,0,0,0,0,0
1360974,pilot02,-91.3696,-88.4399,906.311,169364582,2020-04-28 00:05:33.957,0,0,0,0,0,0,0,0,0,0
1360975,pilot02,-92.1021,-90.271,906.6162,169384350,2020-04-28 00:05:54.517,0,0,0,0,0,0,0,0,0,0
1360976,pilot02,-90.271,-88.1958,914.4287,169404892,2020-04-28 00:06:12.233,0,0,0,0,0,0,0,0,0,0
1360977,pilot02,-92.7734,-90.6372,908.8745,169422608,2020-04-28 00:06:29.593,0,0,0,0,0,0,0,0,0,0
1360978,pilot02,-91.5527,-87.5244,909.2407,169439969,2020-04-28 00:06:47.130,0,0,0,0,0,0,0,0,0,0
1360979,pilot02,-93.9331,-91.3086,905.2124,169457510,2020-04-28 00:07:04.390,0,0,0,0,0,0,0,0,0,0
1360980,pilot02,-92.5903,-88.3789,909.668,169474752,2020-04-28 00:07:22.310,0,0,0,0,0,0,0,0,0,0
1360981,pilot02,-91.6138,-89.5996,908.8745,169492673,2020-04-28 00:07:40.603,0,0,0,0,0,0,0,0,0,0
1360982,pilot02,-91.5527,-90.1489,909.3018,169510973,2020-04-28 00:07:59.100,0,0,0,0,0,0,0,0,0,0
1360983,pilot02,-93.4448,-91.5527,909.729,169529477,2020-04-28 00:08:17.270,0,0,0,0,0,0,0,0,0,0
1360984,pilot02,-91.7358,-87.6465,910.4004,169547638,2020-04-28 00:08:36.267,0,0,0,0,0,0,0,0,0,0
1360985,pilot02,-91.4917,-89.7827,909.9731,169566627,2020-04-28 00:08:53.930,0,0,0,0,0,0,0,0,0,0
1360986,pilot02,-91.3696,-88.6841,911.2549,169584303,2020-04-28 00:09:10.760,0,0,0,0,0,0,0,0,0,0
1360987,pilot02,-88.7451,-83.8013,911.5601,169601115,2020-04-28 00:09:28.463,0,0,0,0,0,0,0,0,0,0
1360988,pilot02,-91.1865,-89.0503,896.1792,169618825,2020-04-28 00:09:46.673,0,0,0,0,0,0,0,0,0,0
1360989,pilot02,-90.5762,-83.4351,915.4053,169637036,2020-04-28 00:10:06.227,0,0,0,0,0,0,0,0,0,0
1360990,pilot02,-94.1772,-98.877,889.0381,169656599,2020-04-28 00:10:24.627,0,0,0,0,0,0,0,0,0,0
1360991,pilot02,-91.1255,-93.3228,891.3574,169674979,2020-04-28 00:10:43.557,0,0,0,0,0,0,0,0,0,0
1360992,pilot02,-89.0503,-84.2896,924.9878,169693928,2020-04-28 00:11:02.790,0,0,0,0,0,0,0,0,0,0
1360993,pilot02,-91.4307,-79.6509,906.311,169713142,2020-04-28 00:11:20.213,0,0,0,0,0,0,0,0,0,0
1360994,pilot02,-91.1255,-87.2803,916.1377,169730573,2020-04-28 00:11:36.857,0,0,0,0,0,0,0,0,0,0
1360995,pilot02,-89.2334,-85.083,909.5459,169747210,2020-04-28 00:11:55.967,0,0,0,0,0,0,0,0,0,0
1360996,pilot02,-89.2334,-88.3179,914.3677,169766334,2020-04-28 00:12:13.297,0,0,0,0,0,0,0,0,0,0
1360997,pilot02,-89.6606,-88.4399,909.9121,169783650,2020-04-28 00:12:30.463,0,0,0,0,0,0,0,0,0,0
