date,value,localSum
2020-04-27 00:00:18,0.0,0.0
2020-04-27 00:01:18,0.0,0.0
2020-04-27 00:02:18,0.0,0.0
2020-04-27 00:03:18,0.0,0.0
2020-04-27 00:04:18,0.0,0.0
2020-04-27 00:05:18,0.0,0.0
2020-04-27 00:06:18,0.0,0.0
2020-04-27 00:07:18,0.0,0.0
2020-04-27 00:08:18,0.0,0.0
2020-04-27 00:09:18,0.0,0.0
2020-04-27 00:10:18,0.0,0.0
2020-04-27 00:11:18,0.0,0.0
2020-04-27 00:12:18,0.0,0.0
2020-04-27 00:13:18,0.0,0.0
2020-04-27 00:14:18,0.0,0.0
2020-04-27 00:15:18,0.0,0.0
2020-04-27 00:16:18,0.0,0.0
2020-04-27 00:17:18,0.0,0.0
2020-04-27 00:18:18,0.0,0.0
2020-04-27 00:19:18,0.0,0.0
2020-04-27 00:20:18,0.0,0.0
2020-04-27 00:21:18,0.0,0.0
2020-04-27 00:22:18,0.0,0.0
2020-04-27 00:23:18,0.0,0.0
2020-04-27 00:24:18,0.0,0.0
2020-04-27 00:25:18,0.0,0.0
2020-04-27 00:26:18,0.0,0.0
2020-04-27 00:27:18,0.0,0.0
2020-04-27 00:28:18,0.0,0.0
2020-04-27 00:29:18,0.0,0.0
2020-04-27 00:30:18,0.0,0.0
2020-04-27 00:31:18,0.0,0.0
2020-04-27 00:32:18,0.0,0.0
2020-04-27 00:33:18,0.0,0.0
2020-04-27 00:34:18,0.0,0.0
2020-04-27 00:35:18,0.0,0.0
2020-04-27 00:36:18,0.0,0.0
2020-04-27 00:37:18,0.0,0.0
2020-04-27 00:38:18,0.0,0.0
2020-04-27 00:39:18,0.0,0.0
2020-04-27 00:40:18,0.0,0.0
2020-04-27 00:41:18,0.0,0.0
2020-04-27 00:42:18,0.0,0.0
2020-04-27 00:43:18,0.0,0.0
2020-04-27 00:44:18,0.0,0.0
2020-04-27 00:45:18,0.0,0.0
2020-04-27 00:46:18,0.0,0.0
2020-04-27 00:47:18,0.0,0.0
2020-04-27 00:48:18,0.0,0.0
2020-04-27 00:49:18,0.0,0.0
2020-04-27 00:50:18,0.0,0.0
2020-04-27 00:51:18,0.0,0.0
2020-04-27 00:52:18,0.0,0.0
2020-04-27 00:53:18,0.0,0.0
2020-04-27 00:54:18,0.0,0.0
2020-04-27 00:55:18,0.0,0.0
2020-04-27 00:56:18,0.0,0.0
2020-04-27 00:57:18,0.0,0.0
2020-04-27 00:58:18,0.0,0.0
2020-04-27 00:59:18,0.0,0.0
2020-04-27 01:00:18,0.0,0.0
2020-04-27 01:01:18,0.0,0.0
2020-04-27 01:02:18,0.0,0.0
2020-04-27 01:03:18,0.0,0.0
2020-04-27 01:04:18,0.0,0.0
2020-04-27 01:05:18,0.0,0.0
2020-04-27 01:06:18,0.0,0.0
2020-04-27 01:07:18,0.0,0.0
2020-04-27 01:08:18,0.0,0.0
2020-04-27 01:09:18,0.0,0.0
2020-04-27 01:10:18,0.0,0.0
2020-04-27 01:11:18,0.0,0.0
2020-04-27 01:12:18,0.0,0.0
2020-04-27 01:13:18,0.0,0.0
2020-04-27 01:14:18,0.0,0.0
2020-04-27 01:15:18,0.0,0.0
2020-04-27 01:16:18,0.0,0.0
2020-04-27 01:17:18,0.0,0.0
2020-04-27 01:18:18,0.0,0.0
2020-04-27 01:19:18,0.0,0.0
2020-04-27 01:20:18,0.0,0.0
2020-04-27 01:21:18,0.0,0.0
2020-04-27 01:22:18,0.0,0.0
2020-04-27 01:23:18,0.0,0.0
2020-04-27 01:24:18,0.0,0.0
2020-04-27 01:25:18,0.0,0.0
2020-04-27 01:26:18,0.0,0.0
2020-04-27 01:27:18,0.0,0.0
2020-04-27 01:28:18,1.0,1.0
2020-04-27 01:29:18,1.0,2.0
2020-04-27 01:30:18,1.0,3.0
2020-04-27 01:31:18,1.0,4.0
2020-04-27 01:32:18,1.0,5.0
2020-04-27 01:33:18,1.0,6.0
2020-04-27 01:34:18,1.0,7.0
2020-04-27 01:35:18,1.0,8.0
2020-04-27 01:36:18,1.0,9.0
2020-04-27 01:37:18,1.0,10.0
2020-04-27 01:38:18,1.0,11.0
2020-04-27 01:39:18,1.0,12.0
2020-04-27 01:40:18,1.0,13.0
