"id","device","accX","accY","accZ","millis","created"
4849418,"pilot99",9.483433,0.3399766,-0.1197101,649900863,"2020-08-05T00:01:03.283Z"
4849421,"pilot99",9.938332,0.4046201,-0.5722142,649900864,"2020-08-05T00:01:04.300Z"
4849424,"pilot99",10.13226,-0.2466028,-1.290475,649900865,"2020-08-05T00:01:05.327Z"
4849427,"pilot99",10.42196,-0.2298434,1.034295,649900866,"2020-08-05T00:01:06.343Z"
4849430,"pilot99",10.24,0.8499416,0.4213795,649900867,"2020-08-05T00:01:07.373Z"
4849433,"pilot99",9.660604,0.4381389,-0.3782839,649900868,"2020-08-05T00:01:08.297Z"
4849436,"pilot99",9.91439,-0.01675941,-0.5363012,649900869,"2020-08-05T00:01:09.310Z"
4849439,"pilot99",10.75475,-0.1699883,0.9983821,649900870,"2020-08-05T00:01:10.347Z"
4849441,"pilot99",10.11071,0.8283938,1.726219,649900871,"2020-08-05T00:01:11.363Z"
4849445,"pilot99",9.564836,0.2681506,0.07900865,649900872,"2020-08-05T00:01:12.283Z"
4849449,"pilot99",10.01734,0.2059013,1.051055,649900873,"2020-08-05T00:01:13.330Z"
4849452,"pilot99",10.21127,-0.1915361,-0.3064578,649900874,"2020-08-05T00:01:14.333Z"
4849455,"pilot99",10.69011,0.2418144,1.963245,649900875,"2020-08-05T00:01:15.347Z"
4849458,"pilot99",9.701305,0.7134721,-0.1675941,649900876,"2020-08-05T00:01:16.390Z"
4849461,"pilot99",9.653421,-0.3256114,-2.896984,649900877,"2020-08-05T00:01:17.297Z"
4849464,"pilot99",10.22564,-0.03591302,0.1867477,649900878,"2020-08-05T00:01:18.397Z"
4849467,"pilot99",10.42675,0.3567361,-1.410185,649900879,"2020-08-05T00:01:19.340Z"
4849470,"pilot99",9.126697,0.6033388,1.900996,649900880,"2020-08-05T00:01:20.260Z"
4849473,"pilot99",9.883265,0.581791,1.022324,649900881,"2020-08-05T00:01:21.293Z"
4849476,"pilot99",9.672575,-0.2322376,-0.7445967,649900882,"2020-08-05T00:01:22.320Z"
4849479,"pilot99",10.01734,-0.2825158,0.4261679,649900883,"2020-08-05T00:01:23.337Z"
4849482,"pilot99",10.30943,0.85473,0.6464345,649900884,"2020-08-05T00:01:24.357Z"
4849485,"pilot99",9.31105,0.3136404,0.3615245,649900885,"2020-08-05T00:01:25.387Z"
4849488,"pilot99",9.859323,0.1843535,-0.926556,649900886,"2020-08-05T00:01:26.293Z"
4849491,"pilot99",10.12268,-0.08140286,0.605733,649900887,"2020-08-05T00:01:27.340Z"
4849494,"pilot99",10.21366,-0.07900865,-0.03351882,649900888,"2020-08-05T00:01:28.357Z"
4849497,"pilot99",10.63265,0.6823475,1.831564,649900889,"2020-08-05T00:01:29.373Z"
4849500,"pilot99",9.452309,0.9600749,-0.1771709,649900890,"2020-08-05T00:01:30.297Z"
4849503,"pilot99",9.634268,0.2633622,1.877054,649900891,"2020-08-05T00:01:31.313Z"
4849507,"pilot99",9.785102,0.1388637,-0.1101333,649900892,"2020-08-05T00:01:32.397Z"
4849510,"pilot99",10.00058,-0.1292869,0.06703765,649900893,"2020-08-05T00:01:33.367Z"
4849513,"pilot99",10.1993,1.022324,0.6751649,649900894,"2020-08-05T00:01:34.287Z"
4849515,"pilot99",9.540894,1.103727,0.8355764,649900895,"2020-08-05T00:01:35.307Z"
4849519,"pilot99",9.414001,0.2777274,0.806846,649900896,"2020-08-05T00:01:36.340Z"
4849522,"pilot99",10.35013,0.3687071,-1.254562,649900897,"2020-08-05T00:01:37.360Z"
4849525,"pilot99",10.12747,-0.1651999,-0.6105214,649900898,"2020-08-05T00:01:38.390Z"
4849528,"pilot99",10.19451,0.5434838,-0.1101333,649900899,"2020-08-05T00:01:39.363Z"
4849531,"pilot99",9.97185,0.3758897,0.4357447,649900900,"2020-08-05T00:01:40.333Z"
4849534,"pilot99",9.342175,0.08379706,1.414973,649900901,"2020-08-05T00:01:41.277Z"
4849537,"pilot99",10.40281,0.06703765,-0.4429273,649900902,"2020-08-05T00:01:42.370Z"
4849540,"pilot99",9.859323,-0.2418144,0.3519476,649900903,"2020-08-05T00:01:43.293Z"
4849543,"pilot99",10.33816,0.213084,1.606509,649900904,"2020-08-05T00:01:44.323Z"
4849546,"pilot99",9.895236,0.3830723,-0.545878,649900905,"2020-08-05T00:01:45.277Z"
4849549,"pilot99",9.607931,0.3232172,0.2777274,649900906,"2020-08-05T00:01:46.353Z"
4849552,"pilot99",10.32619,-0.9433154,-2.817975,649900907,"2020-08-05T00:01:47.293Z"
4849555,"pilot99",10.11311,-0.4620809,1.25935,649900908,"2020-08-05T00:01:48.307Z"
4849559,"pilot99",10.4866,0.2298434,-1.278504,649900909,"2020-08-05T00:01:49.323Z"
4849562,"pilot99",10.02931,0.1891419,1.702277,649900910,"2020-08-05T00:01:50.353Z"
4849565,"pilot99",10.45069,0.3711013,-0.1963245,649900911,"2020-08-05T00:01:51.370Z"
4849568,"pilot99",10.09635,0.1149217,-0.6153098,649900912,"2020-08-05T00:01:52.307Z"
4849571,"pilot99",10.20409,0.07661445,0.8858546,649900913,"2020-08-05T00:01:53.317Z"
4849574,"pilot99",9.581595,0.2106898,-0.9217676,649900914,"2020-08-05T00:01:54.340Z"
4849577,"pilot99",9.581595,0.04548983,-0.2777274,649900915,"2020-08-05T00:01:55.370Z"
4849580,"pilot99",9.710882,-0.5985504,-0.2011129,649900916,"2020-08-05T00:01:56.290Z"
4849583,"pilot99",9.342175,0.1556231,1.477222,649900917,"2020-08-05T00:01:57.323Z"
4849586,"pilot99",10.08198,-0.2059013,1.323994,649900918,"2020-08-05T00:01:58.337Z"
4849589,"pilot99",9.629479,-0.2585738,-1.448492,649900919,"2020-08-05T00:01:59.360Z"
4849592,"pilot99",9.466674,0.3567361,0.6871359,649900920,"2020-08-05T00:02:00.267Z"
4849595,"pilot99",10.46027,0.03830723,0.9792285,649900921,"2020-08-05T00:02:01.317Z"
4849598,"pilot99",9.847352,-0.1939303,-1.833959,649900922,"2020-08-05T00:02:02.273Z"
4849601,"pilot99",9.574412,0.5051765,0.4860229,649900923,"2020-08-05T00:02:03.353Z"
4849604,"pilot99",10.35732,0.03591302,0.7589619,649900924,"2020-08-05T00:02:04.363Z"
4849607,"pilot99",10.04607,0.1628057,-0.28491,649900925,"2020-08-05T00:02:05.283Z"
4849610,"pilot99",10.15381,0.1939303,0.4716577,649900926,"2020-08-05T00:02:06.377Z"
4849614,"pilot99",10.06762,0.2633622,-0.1484405,649900927,"2020-08-05T00:02:07.330Z"
4849617,"pilot99",10.02213,0.4740519,0.4740519,649900928,"2020-08-05T00:02:08.363Z"
4849620,"pilot99",9.828198,0.2059013,0.4668693,649900929,"2020-08-05T00:02:09.383Z"
4849623,"pilot99",9.763555,0.1508347,0.1915361,649900930,"2020-08-05T00:02:10.303Z"
4849626,"pilot99",9.931149,0.2035071,0.4668693,649900931,"2020-08-05T00:02:11.323Z"
4849629,"pilot99",10.06283,0.2896984,-0.3687071,649900932,"2020-08-05T00:02:12.353Z"
4849632,"pilot99",10.1155,0.4836287,0.3734955,649900933,"2020-08-05T00:02:13.370Z"
4849635,"pilot99",10.00776,0.3615245,0.4979939,649900934,"2020-08-05T00:02:14.293Z"
4849638,"pilot99",10.07241,0.05506664,-0.1987187,649900935,"2020-08-05T00:02:15.403Z"
4849641,"pilot99",10.18493,-0.09576806,0.581791,649900936,"2020-08-05T00:02:16.343Z"
4849644,"pilot99",10.13705,0.1915361,-0.545878,649900937,"2020-08-05T00:02:17.370Z"
4849647,"pilot99",10.25437,0.225055,0.7613561,649900938,"2020-08-05T00:02:18.293Z"
4849650,"pilot99",9.909601,-0.02154782,0.2059013,649900939,"2020-08-05T00:02:19.317Z"
4849653,"pilot99",9.911995,0.1292869,0.2418144,649900940,"2020-08-05T00:02:20.357Z"
4849656,"pilot99",10.10353,0.4692635,0.3280056,649900941,"2020-08-05T00:02:21.360Z"
4849659,"pilot99",10.09395,0.6248866,0.3495534,649900942,"2020-08-05T00:02:22.280Z"
4849664,"pilot99",10.13466,0.3854665,0.6105214,649900943,"2020-08-05T00:02:23.513Z"
4849666,"pilot99",10.07241,0.1149217,-0.1795651,649900944,"2020-08-05T00:02:24.327Z"
4849669,"pilot99",10.10593,0.237026,0.3184288,649900945,"2020-08-05T00:02:25.343Z"
4849672,"pilot99",10.07001,0.3256114,0.3711013,649900946,"2020-08-05T00:02:26.377Z"
4849675,"pilot99",9.957485,0.1388637,0.9217676,649900947,"2020-08-05T00:02:27.297Z"
4849678,"pilot99",10.03649,0.1843535,-0.5027823,649900948,"2020-08-05T00:02:28.327Z"
