"id","device","accX","accY","accZ","millis","created"
157280,"pilot01",-236.5723,82.1533,896.9727,2220902,"2020-01-27T17:27:51.880Z"
157281,"pilot01",-236.9995,83.4961,898.6206,2225448,"2020-01-27T17:27:51.880Z"
157282,"pilot01",-234.0698,82.1533,900.9399,2230789,"2020-01-27T17:27:51.887Z"
157283,"pilot01",-235.2295,81.543,901.123,2234843,"2020-01-27T17:27:51.890Z"
157284,"pilot01",-236.9385,82.2144,898.0713,2239303,"2020-01-27T17:27:51.893Z"
157285,"pilot01",-233.9478,83.5571,898.3765,2243918,"2020-01-27T17:27:51.900Z"
157286,"pilot01",-236.5112,83.0688,900.7568,2248443,"2020-01-27T17:27:51.900Z"
157287,"pilot01",-234.9243,82.6416,898.3154,2252958,"2020-01-27T17:27:51.907Z"
157288,"pilot01",-237.5488,80.5054,895.5078,2257559,"2020-01-27T17:27:51.910Z"
157289,"pilot01",-234.1309,82.5195,898.5596,2266719,"2020-01-27T17:27:51.937Z"
157290,"pilot01",-236.4502,83.1299,895.6299,2271419,"2020-01-27T17:27:51.940Z"
157291,"pilot01",-235.1074,81.4209,899.5361,2284689,"2020-01-27T17:27:51.950Z"
157292,"pilot01",-236.6333,83.313,895.6299,2280584,"2020-01-27T17:27:51.950Z"
157293,"pilot01",-233.7646,81.4209,900.8179,2276009,"2020-01-27T17:27:51.953Z"
157294,"pilot01",-237.4268,83.313,897.583,2293414,"2020-01-27T17:27:51.963Z"
157295,"pilot01",-239.9902,84.5947,897.3999,2288759,"2020-01-27T17:27:51.967Z"
157296,"pilot01",-235.2295,83.0078,894.043,2302649,"2020-01-27T17:27:51.970Z"
157297,"pilot01",-235.5347,80.1392,897.583,2298034,"2020-01-27T17:27:51.970Z"
157298,"pilot01",-235.1074,83.252,897.3999,2262079,"2020-01-27T17:27:51.913Z"
157299,"pilot01",-234.6191,83.5571,895.874,2307265,"2020-01-27T17:27:56.253Z"
157300,"pilot01",-237.793,83.0078,895.6909,2311900,"2020-01-27T17:28:00.763Z"
157301,"pilot01",-237.9761,82.8247,895.6299,2316415,"2020-01-27T17:28:05.350Z"
157302,"pilot01",-240.8447,78.9185,905.3345,2321000,"2020-01-27T17:28:10.043Z"
157303,"pilot01",-236.2061,81.4209,896.9116,2325705,"2020-01-27T17:28:14.727Z"
157304,"pilot01",-238.1592,82.7026,896.1182,2330371,"2020-01-27T17:28:19.363Z"
157305,"pilot01",-239.1968,81.1157,896.0571,2358007,"2020-01-28T09:11:08.663Z"
157306,"pilot01",-238.5864,82.0923,894.8364,2339601,"2020-01-28T09:11:08.667Z"
157307,"pilot01",-238.7695,83.374,899.8413,2344216,"2020-01-28T09:11:08.663Z"
157308,"pilot01",-237.6709,84.9609,894.5313,2348806,"2020-01-28T09:11:08.667Z"
157309,"pilot01",-234.1919,84.2285,898.4985,2353401,"2020-01-28T09:11:08.667Z"
157310,"pilot01",-235.8398,82.3364,897.644,2362662,"2020-01-28T09:11:08.663Z"
157311,"pilot01",-237.1216,79.7729,899.292,2335011,"2020-01-28T09:11:08.663Z"
157312,"pilot01",-235.7788,82.0312,898.4985,2372378,"2020-01-28T09:11:08.667Z"
157313,"pilot01",-236.2671,82.7637,893.8599,2376913,"2020-01-28T09:11:08.693Z"
