date,value,localSum
2020-06-19 16:20:38,0.0,0.0
2020-06-19 16:21:38,0.0,0.0
2020-06-19 16:22:38,0.0,0.0
2020-06-19 16:23:38,0.0,0.0
2020-06-19 16:24:38,0.0,0.0
2020-06-19 16:25:38,0.0,0.0
2020-06-19 16:26:38,0.0,0.0
2020-06-19 16:27:38,0.0,0.0
2020-06-19 16:28:38,0.0,0.0
2020-06-19 16:29:38,0.0,0.0
2020-06-19 16:30:38,0.0,0.0
2020-06-19 16:31:38,0.0,0.0
2020-06-19 16:32:38,0.0,0.0
2020-06-19 16:33:38,0.0,0.0
2020-06-19 16:34:38,0.0,0.0
2020-06-19 16:35:38,0.0,0.0
2020-06-19 16:36:38,0.0,0.0
2020-06-19 16:37:38,0.0,0.0
2020-06-19 16:38:38,0.0,0.0
2020-06-19 16:39:38,0.0,0.0
2020-06-19 16:40:38,0.0,0.0
2020-06-19 16:41:38,0.0,0.0
2020-06-19 16:42:38,0.0,0.0
2020-06-19 16:43:38,0.0,0.0
2020-06-19 16:44:38,0.0,0.0
2020-06-19 16:45:38,0.0,0.0
2020-06-19 16:46:38,0.0,0.0
2020-06-19 16:47:38,0.0,0.0
2020-06-19 16:48:38,0.0,0.0
2020-06-19 16:49:38,0.0,0.0
2020-06-19 16:50:38,0.0,0.0
2020-06-19 16:51:38,0.0,0.0
2020-06-19 16:52:38,0.0,0.0
2020-06-19 16:53:38,0.0,0.0
2020-06-19 16:54:38,0.0,0.0
2020-06-19 16:55:38,0.0,0.0
2020-06-19 16:56:38,0.0,0.0
2020-06-19 16:57:38,0.0,0.0
2020-06-19 16:58:38,0.0,0.0
2020-06-19 16:59:38,0.0,0.0
2020-06-19 17:00:38,0.0,0.0
2020-06-19 17:01:38,0.0,0.0
2020-06-19 17:02:38,0.0,0.0
2020-06-19 17:03:38,0.0,0.0
2020-06-19 17:04:38,0.0,0.0
2020-06-19 17:05:38,0.0,0.0
2020-06-19 17:06:38,0.0,0.0
2020-06-19 17:07:38,0.0,0.0
2020-06-19 17:08:38,0.0,0.0
2020-06-19 17:09:38,0.0,0.0
2020-06-19 17:10:38,0.0,0.0
2020-06-19 17:11:38,0.0,0.0
2020-06-19 17:12:38,0.0,0.0
2020-06-19 17:13:38,0.0,0.0
2020-06-19 17:14:38,0.0,0.0
2020-06-19 17:15:38,0.0,0.0
2020-06-19 17:16:38,0.0,0.0
2020-06-19 17:17:38,0.0,0.0
2020-06-19 17:18:38,0.0,0.0
2020-06-19 17:19:38,0.0,0.0
2020-06-19 17:20:38,0.0,0.0
2020-06-19 17:21:38,0.0,0.0
2020-06-19 17:22:38,0.0,0.0
2020-06-19 17:23:38,0.0,0.0
2020-06-19 17:24:38,0.0,0.0
2020-06-19 17:25:38,0.0,0.0
2020-06-19 17:26:38,0.0,0.0
2020-06-19 17:27:38,0.0,0.0
2020-06-19 17:28:38,1.0,1.0
2020-06-19 17:29:38,1.0,2.0
2020-06-19 17:30:38,1.0,3.0
2020-06-19 17:31:38,1.0,4.0
2020-06-19 17:32:38,1.0,5.0
2020-06-19 17:33:38,1.0,6.0
2020-06-19 17:34:38,1.0,7.0
2020-06-19 17:35:38,1.0,8.0
2020-06-19 17:36:38,1.0,9.0
2020-06-19 17:37:38,1.0,10.0
2020-06-19 17:38:38,1.0,10.0
2020-06-19 17:39:38,0.0,11.0
2020-06-19 17:40:38,1.0,11.0
2020-06-19 17:41:38,1.0,12.0
2020-06-19 17:42:38,1.0,13.0
2020-06-19 17:43:38,0.0,13.0
2020-06-19 17:44:38,0.0,13.0
2020-06-19 17:45:38,0.0,13.0
2020-06-19 17:46:38,0.0,13.0
2020-06-19 17:47:38,0.0,13.0
2020-06-19 17:48:38,0.0,13.0
2020-06-19 17:49:38,0.0,13.0
2020-06-19 17:50:38,0.0,13.0
2020-06-19 17:51:38,0.0,13.0
2020-06-19 17:52:38,0.0,13.0
2020-06-19 17:53:38,1.0,14.0
2020-06-19 17:54:38,1.0,15.0
2020-06-19 17:55:38,1.0,16.0
2020-06-19 17:56:38,1.0,17.0
2020-06-19 17:57:38,1.0,18.0
2020-06-19 17:58:38,0.0,18.0
2020-06-19 17:59:38,0.0,18.0
2020-06-19 18:00:38,0.0,18.0
2020-06-19 18:01:38,0.0,18.0
2020-06-19 18:02:38,0.0,18.0
2020-06-19 18:03:38,0.0,18.0
2020-06-19 18:04:38,0.0,18.0
2020-06-19 18:05:38,0.0,18.0
2020-06-19 18:06:38,0.0,18.0
2020-06-19 18:07:38,0.0,18.0
2020-06-19 18:08:38,0.0,18.0
2020-06-19 18:09:38,0.0,18.0
2020-06-19 18:10:38,1.0,19.0
2020-06-19 18:11:38,1.0,20.0
2020-06-19 18:12:38,0.0,20.0
2020-06-19 18:13:38,0.0,20.0
2020-06-19 18:14:38,0.0,20.0
2020-06-19 18:15:38,0.0,20.0
2020-06-19 18:16:38,0.0,20.0
2020-06-19 18:17:38,0.0,20.0
2020-06-19 18:18:38,0.0,20.0
2020-06-19 18:19:38,0.0,20.0
2020-06-19 18:20:38,0.0,20.0
2020-06-19 18:21:38,0.0,20.0
2020-06-19 18:22:38,0.0,20.0
2020-06-19 18:23:38,0.0,20.0
2020-06-19 18:24:38,0.0,20.0
2020-06-19 18:25:38,0.0,20.0
2020-06-19 18:26:38,0.0,20.0
2020-06-19 18:27:38,0.0,20.0
2020-06-19 18:28:38,0.0,20.0
2020-06-19 18:29:38,0.0,20.0
2020-06-19 18:30:38,0.0,20.0
2020-06-19 18:31:38,0.0,20.0
2020-06-19 18:32:38,0.0,20.0
2020-06-19 18:33:38,0.0,20.0
2020-06-19 18:34:38,0.0,20.0
2020-06-19 18:35:38,0.0,20.0
2020-06-19 18:36:38,0.0,20.0
2020-06-19 18:37:38,0.0,20.0
2020-06-19 18:38:38,0.0,20.0
2020-06-19 18:39:38,0.0,20.0
2020-06-19 18:40:38,0.0,20.0
2020-06-19 18:41:38,0.0,20.0
2020-06-19 18:42:38,0.0,20.0
2020-06-19 18:43:38,0.0,20.0
2020-06-19 18:44:38,0.0,20.0
2020-06-19 18:45:38,0.0,20.0
2020-06-19 18:46:38,0.0,20.0
2020-06-19 18:47:38,0.0,20.0
2020-06-19 18:48:38,0.0,20.0
